prompt,label,type,word_length,corruptions
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: cyan yacn, Label:",True,color,4,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: Renault nReluat, Label:",True,car,7,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: Senegal eagneSl, Label:",True,country,7,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: arcade eadarc, Label:",True,other,6,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: tundra urdnta, Label:",True,other,6,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: blue belu, Label:",True,color,4,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: studio sdoitu, Label:",True,other,6,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: Namibia aamibiN, Label:",True,country,7,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: kiwi ikiw, Label:",True,fruit,4,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: Iceland ecIldna, Label:",True,country,7,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: Daihatsu Dstauiha, Label:",True,car,8,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: Bhutan uhBtna, Label:",True,country,6,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: Lexus sexuL, Label:",True,car,5,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: Iceland eIlnadc, Label:",True,country,7,0
"Input: France caenGx, Label: False
Input: brown bnrwo, Label: True
Input: Proton nrPoto, Label: True
Input: Ferrari rrFarei, Label: True
Input: azure ezrua, Label: True
Input: gray ragy, Label: True
Input: Suriname nSntuaez, Label: False
Input: Lesotho ghooLie, Label: False
Input: Comoros llhmuoC, Label: False
Input: Myanmar nyaZvrw, Label: False
Input: ocean eonca, Label:",True,other,5,0
